URL,L(HN),,L(URL),,N(DIN),,N(DT),,N(PT),,N(PAT),,A(DTC),,A(PTC),,LL(DT),,LL(PT),
www.lifelabs.vn/api/get.php?id=aW5mb0BzYXBjdXBncmFkZXMuY29t,8,1.107142857,59,6.035714286,3,0.428571429,1,0.535714286,2,1.428571429,1,0.535714286,8,1.904761786,5,5.153316786,8,3.5,3,6.607142857
www.61kx.uk-insolvencydirect.com/sending_data/in_cgi/bbwp/cases/Inquiry.php,4,5.107142857,75,9.964285714,4,0.571428571,2,0.464285714,5,1.571428571,0,0.464285714,11.5,1.595238214,7.6,2.553316786,19,7.5,12,2.392857143
www.studiolegaleabbruzzese.com/wp-content/plugins/urxwhbnw3ez/flight_4832.pdf,22,12.89285714,77,11.96428571,3,0.428571429,1,0.535714286,4,0.571428571,0,0.464285714,22,12.09523821,10.75,0.596683214,22,10.5,11,1.392857143
www.kingskillz.ru/~kingskil/Prince/Man/lucy/mine/shit.exe,10,0.892857143,57,8.035714286,3,0.428571429,1,0.535714286,6,2.571428571,0,0.464285714,10,0.095238214,5.66667,4.486646786,10,1.5,9,0.607142857
www.family-partners.fr/data.dpg,15,5.892857143,31,34.03571429,3,0.428571429,1,0.535714286,1,2.428571429,0,0.464285714,15,5.095238214,8,2.153316786,15,3.5,8,1.607142857
www.tscl.com.bd/m/RI%20XIN%20QUOTATION%20LIST.zip,4,5.107142857,49,16.03571429,4,0.571428571,2,0.464285714,2,1.428571429,0,0.464285714,3.5,6.404761786,16,5.846683214,4,7.5,1,8.607142857
www.jessisjewels.com/disk/update/postmaster/en/?ar=yourname@yourdomain.com,12,2.892857143,74,8.964285714,3,0.428571429,1,0.535714286,5,1.571428571,1,0.535714286,12,2.095238214,5.5,4.653316786,12,0.5,10,0.392857143
www.brollopsguiden.se/openx/www/delivery/ajs.php?campaignid=4&target=_blank&cb=84501358690,14,4.892857143,90,24.96428571,3,0.428571429,1,0.535714286,4,0.571428571,3,2.535714286,14,4.095238214,5.75,4.403316786,14,2.5,8,1.607142857
www.structured.blackswanstore.com/plc/header.js,10,0.892857143,47,18.03571429,4,0.571428571,2,0.464285714,2,1.428571429,0,0.464285714,12,2.095238214,6,4.153316786,14,2.5,3,6.607142857
www.ross.starvingmillionaire.org/unveiled/dropdown.js?ver=496e05e1aea0a9c4655800e8a7b9ea28,4,5.107142857,90,24.96428571,4,0.571428571,2,0.464285714,2,1.428571429,1,0.535714286,11.5,1.595238214,9.5,0.653316786,19,7.5,8,1.607142857
www.ad.9tv.co.il/serv4/www/delivery/ajs.php?zoneid=37&cb=54350405237&charset=utf-8,2,7.107142857,82,16.96428571,5,1.571428571,3,1.464285714,4,0.571428571,3,2.535714286,2.33333,7.571431786,5.75,4.403316786,3,8.5,8,1.607142857
www.giants.yourzip.co/static/quotes.js?ver=d58072be2820e8682c0a27c0518e805e,6,3.107142857,75,9.964285714,4,0.571428571,2,0.464285714,2,1.428571429,1,0.535714286,6.5,3.404761786,7.5,2.653316786,7,4.5,6,3.607142857
www.evans.babajilab.in/specimen/1479491/tire-something-detect-five-what-knot-unknown-entertain-stiff,5,4.107142857,100,34.96428571,3,0.428571429,2,0.464285714,3,0.428571429,0,0.464285714,7,2.904761786,25,14.84668321,9,2.5,8,1.607142857
www.tahit.wastech2016.in/xcqrsw3.html,5,4.107142857,37,28.03571429,4,0.571428571,2,0.464285714,1,2.428571429,0,0.464285714,8,1.904761786,12,1.846683214,11,0.5,12,2.392857143
www.tanner.alicerosenmanmemorial.com/hggfgl3.html,6,3.107142857,49,16.03571429,4,0.571428571,2,0.464285714,1,2.428571429,0,0.464285714,13.5,3.595238214,12,1.846683214,21,9.5,12,2.392857143
www.adv.riza.it/www/delivery/ajs.php?zoneid=51&cb=96020978060,3,6.107142857,61,4.035714286,4,0.571428571,2,0.464285714,3,0.428571429,2,1.535714286,3.5,6.404761786,6,4.153316786,4,7.5,8,1.607142857
www.hmora.fred-build.tk/odbsx2.html,5,4.107142857,35,30.03571429,4,0.571428571,2,0.464285714,1,2.428571429,0,0.464285714,7.5,2.404761786,11,0.846683214,10,1.5,11,1.392857143
www.ywvcomputerprocess.info/errorreport/ty5ug6h4ndma4,18,8.892857143,53,12.03571429,2,1.428571429,1,0.535714286,2,1.428571429,0,0.464285714,18,8.095238214,12,1.846683214,18,6.5,11,1.392857143
